ticker,event_date,setup_type,adsh,company_name
SWKHL,2021-09-08,s20_uplisting,0001552781-21-000704,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2021-11-23,s20_uplisting,0001552781-21-000827,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2022-03-29,s20_uplisting,0001552781-22-000293,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2022-05-18,s20_uplisting,0001552781-22-000406,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2022-08-17,s20_uplisting,0001552781-22-000541,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2023-04-04,s20_uplisting,0001552781-23-000224,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2023-05-17,s20_uplisting,0001552781-23-000283,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2024-03-22,s20_uplisting,0001552781-24-000172,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2024-05-20,s20_uplisting,0001552781-24-000357,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2024-08-15,s20_uplisting,0001552781-24-000495,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2024-11-15,s20_uplisting,0001552781-24-000608,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2025-03-20,s20_uplisting,0001628280-25-013997,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2025-05-15,s20_uplisting,0001628280-25-025966,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
SWKHL,2025-08-14,s20_uplisting,0001628280-25-040422,"SWK Holdings Corp  (SWKH, SWKHL)  (CIK 0001089907)"
VELO,2025-11-10,s20_uplisting,0001193125-25-274173,"Velo3D, Inc.  (VELO, VLDXW)  (CIK 0001825079)"
VFF,2026-04-03,s20_uplisting,0001193125-26-141251,"Village Farms International, Inc.  (VFF)  (CIK 0001584549)"
ZVRA,2021-11-10,s20_uplisting,0001437749-21-026154,"KEMPHARM, INC  (ZVRA)  (CIK 0001434647)"
