horizon,n,win_rate,median_return,mean_return,max_drawdown,sl_hit_rate,expectancy,edge_vs_spy_median,setup
30,364,0.4396,-0.0116,-0.0024,-0.8252,0.4753,-0.0024,-0.0335,s05_spinoff
60,349,0.4756,-0.0117,-0.0009,-0.9234,0.6046,-0.0009,-0.0409,s05_spinoff
90,330,0.4909,-0.012,0.0099,-0.93,0.6545,0.0099,-0.0572,s05_spinoff
