ticker,event_date,setup_type,spike_return,vol_x_sma50
GEN,2018-11-06,s03_catalyst_rerating,0.1259,3.59
GEN,2019-07-03,s03_catalyst_rerating,0.1357,5.04
GM,2018-05-31,s03_catalyst_rerating,0.1287,5.39
GL,2024-04-12,s03_catalyst_rerating,0.2017,12.12
HAL,2016-11-30,s03_catalyst_rerating,0.1109,3.65
HIG,2021-03-18,s03_catalyst_rerating,0.1871,9.39
HSY,2016-06-30,s03_catalyst_rerating,0.1683,11.28
HSY,2024-12-09,s03_catalyst_rerating,0.1085,7.32
HPE,2025-06-30,s03_catalyst_rerating,0.1108,3.29
HLT,2020-11-09,s03_catalyst_rerating,0.1223,3.44
HWM,2018-07-16,s03_catalyst_rerating,0.1047,4.05
HPQ,2022-04-07,s03_catalyst_rerating,0.1475,5.78
HII,2016-11-09,s03_catalyst_rerating,0.1141,3.46
IBM,2026-05-21,s03_catalyst_rerating,0.1243,4.12
INCY,2016-11-09,s03_catalyst_rerating,0.1299,3.26
PODD,2022-01-28,s03_catalyst_rerating,0.1837,4.15
INTC,2025-02-18,s03_catalyst_rerating,0.1606,3.29
INTC,2025-09-18,s03_catalyst_rerating,0.2277,4.9
IFF,2021-02-01,s03_catalyst_rerating,0.1581,6.92
IP,2024-03-19,s03_catalyst_rerating,0.1096,3.02
IVZ,2025-07-18,s03_catalyst_rerating,0.1528,6.49
IRM,2021-01-27,s03_catalyst_rerating,0.1081,5.43
KDP,2018-01-29,s03_catalyst_rerating,0.2239,15.39
KDP,2018-07-10,s03_catalyst_rerating,0.1145,6.9
KIM,2020-11-09,s03_catalyst_rerating,0.3226,3.83
KKR,2024-06-10,s03_catalyst_rerating,0.1118,5.14
KR,2019-11-05,s03_catalyst_rerating,0.1136,3.05
LVS,2022-01-14,s03_catalyst_rerating,0.1415,5.49
LVS,2022-09-26,s03_catalyst_rerating,0.1181,4.41
LLY,2020-06-16,s03_catalyst_rerating,0.1568,3.89
LLY,2020-11-04,s03_catalyst_rerating,0.1344,3.06
