ticker,event_date,setup_type,adsh,company_name
MFP,2026-06-22,s05_spinoff,0001193125-26-276742,"Midera Food Processing, Inc.  (MFP)  (CIK 0002088281)"
VTS,2023-01-09,s05_spinoff,0001193125-23-004237,"Vitesse Energy, Inc.  (VTS)  (CIK 0001944558)"
FDX,2026-06-01,s05_spinoff,0001104659-26-068519,FEDEX CORP  (FDX)  (CIK 0001048911)
VANI,2025-03-13,s05_spinoff,0001753926-25-000438,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)"
VTS,2023-01-17,s05_spinoff,0001193125-23-008895,"Vitesse Energy, Inc.  (VTS)  (CIK 0001944558)"
TRAX,2026-04-03,s05_spinoff,0001193125-26-140835,"First Tracks Biotherapeutics, Inc.  (TRAX)  (CIK 0002091349)"
XPO,2022-03-28,s05_spinoff,0001104659-22-038391,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
VANI,2025-09-17,s05_spinoff,0001753926-25-001510,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)"
AFCG,2024-02-22,s05_spinoff,0001822523-24-000011,"AFC Gamma, Inc.  (AFCG)  (CIK 0001822523)"
NATL,2023-10-18,s05_spinoff,0001193125-23-257872,NCR Atleos Corp  (NATL)  (CIK 0001974138)
RHLD,2025-02-28,s05_spinoff,0000950142-25-000558,"Resolute Holdings Management, Inc.  (RHLD, RHLDV)  (CIK 0002039497)"
DD,2025-08-11,s05_spinoff,0001193125-25-177454,"DuPont de Nemours, Inc.  (DD)  (CIK 0001666700)"
LEN,2025-01-13,s05_spinoff,0001193125-25-004622,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)"
XPO,2022-10-19,s05_spinoff,0001104659-22-110028,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
LBRDA,2025-06-20,s05_spinoff,0001104659-25-060920,"Liberty Broadband Corp  (LBRDA, LBRDB, LBRDK, LBRDP)  (CIK 0001611983)"
RHLD,2025-02-14,s05_spinoff,0001104659-25-013546,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)"
LEN,2025-02-07,s05_spinoff,0001193125-25-022309,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)"
MIDD,2026-05-12,s05_spinoff,0001193125-26-218313,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
NATL,2023-09-18,s05_spinoff,0001193125-23-236566,"NCR Atleos, LLC  (NATL)  (CIK 0001974138)"
LGL,2022-08-10,s05_spinoff,0001564590-22-028840,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
VYX,2023-09-18,s05_spinoff,0001193125-23-236561,"NCR CORP  (VYX, NCRRP)  (CIK 0000070866)"
ANAB,2026-03-27,s05_spinoff,0001193125-26-127783,"ANAPTYSBIO, INC  (ANAB)  (CIK 0001370053)"
HONA,2026-06-15,s05_spinoff,0001628280-26-043193,Honeywell Aerospace Inc.  (HONA)  (CIK 0002089271)
XPO,2022-10-03,s05_spinoff,0000950142-22-002820,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
MIDD,2026-03-25,s05_spinoff,0001193125-26-122831,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
WPC,2023-09-21,s05_spinoff,0001104659-23-102585,W. P. Carey Inc.  (WPC)  (CIK 0001025378)
XPO,2022-10-25,s05_spinoff,0001104659-22-111223,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
SWX,2023-03-07,s05_spinoff,0001193125-23-063014,"Southwest Gas Holdings, Inc.  (SWX)  (CIK 0001692115)"
GE,2022-11-23,s05_spinoff,0001193125-22-292079,GENERAL ELECTRIC CO  (GE)  (CIK 0000040545)
ANAB,2026-04-24,s05_spinoff,0001193125-26-177317,"ANAPTYSBIO, INC  (ANAB, ANABV)  (CIK 0001370053)"
LBTYA,2024-11-08,s05_spinoff,0001570585-24-000317,"Liberty Global Ltd.  (LBTYA, LBTYB, LBTYK, LBYAV, LBYKV)  (CIK 0001570585)"
VANI,2025-05-29,s05_spinoff,0001753926-25-000898,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)"
KDP,2025-10-30,s05_spinoff,0001193125-25-257489,Keurig Dr Pepper Inc.  (KDP)  (CIK 0001418135)
LGL,2022-05-12,s05_spinoff,0001564590-22-019871,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
MIDD,2026-02-26,s05_spinoff,0001193125-26-077060,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
MIDD,2026-04-01,s05_spinoff,0001193125-26-135768,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
HON,2026-03-23,s05_spinoff,0001193125-26-118101,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
MIDD,2025-12-04,s05_spinoff,0001193125-25-307524,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
OLOX,2022-12-28,s05_spinoff,0001213900-22-083045,SAFE & GREEN HOLDINGS CORP.  (SGBX)  (CIK 0001023994)
XPER,2022-10-06,s05_spinoff,0001193125-22-258604,Xperi Inc.  (XPER)  (CIK 0001788999)
XPO,2022-09-28,s05_spinoff,0000950142-22-002795,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
BBWI,2021-08-18,s05_spinoff,0000701985-21-000026,"Bath & Body Works, Inc.  (BBWI)  (CIK 0000701985)"
SOLS,2025-10-30,s05_spinoff,0001628280-25-047305,Solstice Advanced Materials Inc.  (SOLS)  (CIK 0002064953)
STHO,2023-03-31,s05_spinoff,0001104659-23-039689,Star Holdings  (STHO)  (CIK 0001953366)
MIDD,2026-05-04,s05_spinoff,0001193125-26-204102,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
MIDD,2026-06-17,s05_spinoff,0001193125-26-274367,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
XPO,2021-07-13,s05_spinoff,0001104659-21-091764,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
BRBR,2022-05-05,s05_spinoff,0001772016-22-000035,"BELLRING BRANDS, INC.  (BRBR)  (CIK 0001772016)"
JEF,2023-01-05,s05_spinoff,0001193125-23-002005,Jefferies Financial Group Inc.  (JEF)  (CIK 0000096223)
AFCG,2024-07-03,s05_spinoff,0001628280-24-031187,"AFC Gamma, Inc.  (AFCG)  (CIK 0001822523)"
CXT,2023-03-08,s05_spinoff,0001193125-23-064677,"Crane Holdings, Co.  (CXT)  (CIK 0000025445)"
ARMK,2023-08-08,s05_spinoff,0001584509-23-000152,Aramark  (ARMK)  (CIK 0001584509)
SPHR,2023-03-30,s05_spinoff,0001193125-23-084492,Madison Square Garden Entertainment Corp.  (SPHR)  (CIK 0001795250)
RXO,2022-10-18,s05_spinoff,0000950142-22-002938,"RXO, Inc.  (RXO)  (CIK 0001929561)"
GPGI,2025-01-03,s05_spinoff,0001104659-25-000865,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)"
SWX,2023-11-06,s05_spinoff,0001193125-23-270893,"Southwest Gas Holdings, Inc.  (SWX)  (CIK 0001692115)"
