ticker,event_date,setup_type,sponsor_name,application_number,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
DCTH,2023-08-14,s08_fda_regulatory,DELCATH SYSTEMS INC,NDA201848,2023-08-03,4.0,30.0,2023-09-15,4.480000019073486,0.12000000476837158,0.11700000476837158,True,-0.10299999999999998,True,-0.13662428704322038,-0.006932716127163285,0.12393272089553486,
DCTH,2023-08-14,s08_fda_regulatory,DELCATH SYSTEMS INC,NDA201848,2023-08-03,4.0,60.0,2023-10-27,3.2799999713897705,-0.18000000715255737,-0.18300000715255738,True,-0.10299999999999998,True,-0.13662428704322038,-0.08015243105958803,-0.10284757609296935,
DCTH,2023-08-14,s08_fda_regulatory,DELCATH SYSTEMS INC,NDA201848,2023-08-03,4.0,90.0,2023-12-11,2.869999885559082,-0.2825000286102295,-0.2855000286102295,True,-0.10299999999999998,True,-0.13662428704322038,0.03477247546766127,-0.32027250407789076,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220020,2025-06-09,108.96744077760764,30.0,2025-07-23,110.67678833007812,0.015686773409307797,0.012686773409307798,False,0.012686773409307798,True,-0.05442136093340899,0.06063654682563713,-0.04794977341632933,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220020,2025-06-09,108.96744077760764,60.0,2025-09-04,109.90684509277344,0.008620963367241385,0.005620963367241385,False,0.005620963367241385,True,-0.05442136093340899,0.08557150749459552,-0.07995054412735414,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220020,2025-06-09,108.96744077760764,90.0,2025-10-16,115.65550231933594,0.06137669650678501,0.05837669650678501,False,0.05837669650678501,True,-0.05442136093340899,0.10790055129487364,-0.04952385478808863,
INCY,2023-03-22,s08_fda_regulatory,INCYTE CORP,BLA761334,2023-03-13,72.2699966430664,30.0,2023-04-25,73.55000305175781,0.017711449676872437,0.014711449676872438,False,0.014711449676872438,True,-0.045260826070351645,0.06762447385978776,-0.052913024182915325,
INCY,2023-03-22,s08_fda_regulatory,INCYTE CORP,BLA761334,2023-03-13,72.2699966430664,60.0,2023-06-07,61.38999938964844,-0.15054653049387956,-0.15354653049387956,True,-0.10299999999999987,True,-0.045260826070351645,0.12144224492253586,-0.2749887754164154,
INCY,2023-03-22,s08_fda_regulatory,INCYTE CORP,BLA761334,2023-03-13,72.2699966430664,90.0,2023-07-21,64.1500015258789,-0.11235637877902871,-0.11535637877902871,True,-0.10299999999999987,True,-0.045260826070351645,0.1932419324490553,-0.308598311228084,
PFE,2024-10-11,s08_fda_regulatory,PFIZER INC,BLA761369,2024-10-02,25.41022063401981,30.0,2024-11-13,24.108638763427734,-0.05122276934697245,-0.054222769346972455,False,-0.054222769346972455,True,-0.03904468141117312,0.051927811907027,-0.10615058125399945,
PFE,2024-10-11,s08_fda_regulatory,PFIZER INC,BLA761369,2024-10-02,25.41022063401981,60.0,2024-12-27,24.018415451049805,-0.05477343951538238,-0.057773439515382385,True,-0.10300000000000009,True,-0.03904468141117312,0.05161533001976859,-0.10938876953515098,
PFE,2024-10-11,s08_fda_regulatory,PFIZER INC,BLA761369,2024-10-02,25.41022063401981,90.0,2025-02-12,23.360721588134766,-0.08065648368047329,-0.08365648368047329,True,-0.10300000000000009,True,-0.03904468141117312,0.06637307712784879,-0.15002956080832208,
ARDX,2023-10-17,s08_fda_regulatory,ARDELYX INC,NDA213931,2023-10-06,3.9600000381469727,30.0,2023-11-17,4.329999923706055,0.09343431363506216,0.09043431363506216,True,-0.10299999999999998,True,-0.13052333583430265,0.06829871682228195,0.02213559681278021,
ARDX,2023-10-17,s08_fda_regulatory,ARDELYX INC,NDA213931,2023-10-06,3.9600000381469727,60.0,2024-01-03,6.150000095367432,0.553030312152532,0.550030312152532,True,-0.10299999999999998,True,-0.13052333583430265,0.11546011819606794,0.434570193956464,
ARDX,2023-10-17,s08_fda_regulatory,ARDELYX INC,NDA213931,2023-10-06,3.9600000381469727,90.0,2024-02-15,9.300000190734863,1.3484848740270898,1.34548487402709,True,-0.10299999999999998,True,-0.13052333583430265,0.19450532707641166,1.1509795469506783,
BBIO,2024-11-22,s08_fda_regulatory,BRIDGEBIO PHARMA,NDA216540,2024-11-13,24.920000076293945,30.0,2024-12-27,27.989999771118164,0.12319420888544319,0.12019420888544319,True,-0.10299999999999998,True,-0.10624198871595159,-0.0005982754239947097,0.1207924843094379,
BBIO,2024-11-22,s08_fda_regulatory,BRIDGEBIO PHARMA,NDA216540,2024-11-13,24.920000076293945,60.0,2025-02-12,31.950000762939453,0.2821027554222624,0.27910275542226237,True,-0.10299999999999998,True,-0.10624198871595159,0.013426736849642129,0.26567601857262024,
BBIO,2024-11-22,s08_fda_regulatory,BRIDGEBIO PHARMA,NDA216540,2024-11-13,24.920000076293945,90.0,2025-03-27,36.400001525878906,0.4606742140625324,0.4576742140625324,True,-0.10299999999999998,True,-0.10624198871595159,-0.04464520160958363,0.502319415672116,
PFE,2023-10-12,s08_fda_regulatory,PFIZER,NDA216956,2023-10-03,28.39113867894217,30.0,2023-11-14,24.879581451416016,-0.1236849732318307,-0.1266849732318307,True,-0.10299999999999998,True,-0.0434949251133423,0.05568639235907136,-0.18237136559090206,
PFE,2023-10-12,s08_fda_regulatory,PFIZER,NDA216956,2023-10-03,28.39113867894217,60.0,2023-12-28,24.479942321777344,-0.1377611656014972,-0.1407611656014972,True,-0.10299999999999998,True,-0.0434949251133423,0.12601210590499878,-0.266773271506496,
PFE,2023-10-12,s08_fda_regulatory,PFIZER,NDA216956,2023-10-03,28.39113867894217,90.0,2024-02-12,23.873037338256836,-0.15913772926749248,-0.16213772926749248,True,-0.10299999999999998,True,-0.0434949251133423,0.18338881457235368,-0.34552654383984616,
ABBV,2025-02-07,s08_fda_regulatory,ABBVIE,NDA217906,2025-01-29,167.4470231560794,30.0,2025-03-13,202.99952697753906,0.2123209069433305,0.2093209069433305,False,0.2093209069433305,False,0.2093209069433305,-0.0866294574949188,0.2959503644382493,
ABBV,2025-02-07,s08_fda_regulatory,ABBVIE,NDA217906,2025-01-29,167.4470231560794,60.0,2025-04-25,180.1897430419922,0.07610000850260046,0.07310000850260046,False,0.07310000850260046,True,-0.04363129658777609,-0.085177816953112,0.15827782545571245,
ABBV,2025-02-07,s08_fda_regulatory,ABBVIE,NDA217906,2025-01-29,167.4470231560794,90.0,2025-06-09,183.19195556640625,0.09402933604648678,0.09102933604648678,False,0.09102933604648678,True,-0.04363129658777609,-0.0037036303492280487,0.09473296639571482,
AMGN,2023-10-31,s08_fda_regulatory,AMGEN INC,BLA761285,2023-10-20,257.97686737416115,30.0,2023-12-04,252.53680419921875,-0.021087406907117412,-0.02408740690711741,True,-0.10299999999999998,True,-0.040498712268019266,0.0720924922185675,-0.09617989912568492,
AMGN,2023-10-31,s08_fda_regulatory,AMGEN INC,BLA761285,2023-10-20,257.97686737416115,60.0,2024-01-18,282.1418151855469,0.09367098708248789,0.09067098708248789,True,-0.10299999999999998,True,-0.040498712268019266,0.12310876709064944,-0.032437780008161554,
AMGN,2023-10-31,s08_fda_regulatory,AMGEN INC,BLA761285,2023-10-20,257.97686737416115,90.0,2024-03-01,261.7856140136719,0.014763907625820805,0.011763907625820805,True,-0.10299999999999998,True,-0.040498712268019266,0.2088109543918284,-0.1970470467660076,
ABBV,2025-05-14,s08_fda_regulatory,ABBVIE INC,BLA761384,2025-05-05,192.2082150424335,30.0,2025-06-17,179.6280517578125,-0.06545070553744903,-0.06845070553744903,True,-0.10299999999999987,True,-0.06743933590225526,0.06214344280249784,-0.13059414833994687,
ABBV,2025-05-14,s08_fda_regulatory,ABBVIE INC,BLA761384,2025-05-05,192.2082150424335,60.0,2025-07-31,184.637451171875,-0.03938834700112637,-0.04238834700112637,True,-0.10299999999999987,True,-0.06743933590225526,0.12687957839650266,-0.16926792539762903,
ABBV,2025-05-14,s08_fda_regulatory,ABBVIE INC,BLA761384,2025-05-05,192.2082150424335,90.0,2025-09-12,213.2776336669922,0.1096176800763029,0.1066176800763029,True,-0.10299999999999987,True,-0.06743933590225526,0.17203811699182858,-0.06542043691552568,
GILD,2026-05-22,s08_fda_regulatory,GILEAD SCIENCES INC,BLA761468,2026-05-13,132.67802506045405,30.0,,,,,,,,,,,exit_out_of_range
GILD,2026-05-22,s08_fda_regulatory,GILEAD SCIENCES INC,BLA761468,2026-05-13,132.67802506045405,60.0,,,,,,,,,,,exit_out_of_range
GILD,2026-05-22,s08_fda_regulatory,GILEAD SCIENCES INC,BLA761468,2026-05-13,132.67802506045405,90.0,,,,,,,,,,,exit_out_of_range
ABBV,2021-09-28,s08_fda_regulatory,ABBVIE,NDA215206,2021-09-17,90.11346307293135,30.0,2021-10-29,97.28914642333984,0.07962942612249857,0.07662942612249857,False,0.07662942612249857,False,0.07662942612249857,0.032208053784620105,0.04442137233787846,
ABBV,2021-09-28,s08_fda_regulatory,ABBVIE,NDA215206,2021-09-17,90.11346307293135,60.0,2021-12-13,107.33456420898438,0.19110464240083092,0.1881046424008309,False,0.1881046424008309,False,0.1881046424008309,0.04866041975516744,0.13944422264566347,
ABBV,2021-09-28,s08_fda_regulatory,ABBVIE,NDA215206,2021-09-17,90.11346307293135,90.0,2022-01-26,115.06616973876953,0.2769032041931765,0.2739032041931765,False,0.2739032041931765,False,0.2739032041931765,-0.02251511972078646,0.29641832391396294,
GILD,2022-12-22,s08_fda_regulatory,GILEAD SCIENCES INC,NDA215974,2022-12-13,79.01932020524491,30.0,2023-01-27,74.42998504638672,-0.058078646423910585,-0.06107864642391059,False,-0.06107864642391059,True,-0.04303027413347471,-0.00652603043696387,-0.05455261598694672,
GILD,2022-12-22,s08_fda_regulatory,GILEAD SCIENCES INC,NDA215974,2022-12-13,79.01932020524491,60.0,2023-03-13,70.67870330810547,-0.10555161542108316,-0.10855161542108316,True,-0.10299999999999987,True,-0.04303027413347471,-0.056287967031946384,-0.052263648389136774,
GILD,2022-12-22,s08_fda_regulatory,GILEAD SCIENCES INC,NDA215974,2022-12-13,79.01932020524491,90.0,2023-04-25,76.80790710449219,-0.027985726718589787,-0.030985726718589787,True,-0.10299999999999987,True,-0.04303027413347471,-0.0017511130062292102,-0.029234613712360576,
VSTM,2025-05-08,s08_fda_regulatory,VERASTEM INC,NDA219616,2025-04-29,7.0,30.0,2025-06-11,5.96999979019165,-0.14714288711547852,-0.15014288711547852,True,-0.10299999999999998,True,-0.1805556797285386,0.09555301743462574,-0.24569590455010426,
VSTM,2025-05-08,s08_fda_regulatory,VERASTEM INC,NDA219616,2025-04-29,7.0,60.0,2025-07-25,6.139999866485596,-0.12285716193062923,-0.12585716193062924,True,-0.10299999999999998,True,-0.1805556797285386,0.1640952163782432,-0.28995237830887244,
VSTM,2025-05-08,s08_fda_regulatory,VERASTEM INC,NDA219616,2025-04-29,7.0,90.0,2025-09-08,10.229999542236328,0.46142850603376107,0.45842850603376106,True,-0.10299999999999998,True,-0.1805556797285386,0.1855279942057837,0.27290051182797737,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220018,2025-06-09,108.96744077760764,30.0,2025-07-23,110.67678833007812,0.015686773409307797,0.012686773409307798,False,0.012686773409307798,True,-0.05442136093340899,0.06063654682563713,-0.04794977341632933,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220018,2025-06-09,108.96744077760764,60.0,2025-09-04,109.90684509277344,0.008620963367241385,0.005620963367241385,False,0.005620963367241385,True,-0.05442136093340899,0.08557150749459552,-0.07995054412735414,
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220018,2025-06-09,108.96744077760764,90.0,2025-10-16,115.65550231933594,0.06137669650678501,0.05837669650678501,False,0.05837669650678501,True,-0.05442136093340899,0.10790055129487364,-0.04952385478808863,
AMGN,2024-05-28,s08_fda_regulatory,AMGEN INC,BLA761333,2024-05-16,295.90345832250244,30.0,2024-07-01,292.4989318847656,-0.011505531084487264,-0.014505531084487263,False,-0.014505531084487263,True,-0.05161536351108309,0.032496687833523774,-0.04700221891801104,
