horizon,n,win_rate,median_return,mean_return,max_drawdown,sl_hit_rate,expectancy,edge_vs_spy_median,setup
30,90,0.6111,0.0439,0.0726,-0.4245,0.4778,0.0726,0.0054,s07_insider_buying
60,73,0.6301,0.0885,0.0748,-0.6948,0.6027,0.0748,0.0143,s07_insider_buying
90,45,0.6444,0.1019,0.1303,-0.7512,0.6222,0.1303,0.0829,s07_insider_buying
30,81,0.5185,0.0072,0.0321,-0.3956,0.5062,0.0321,-0.0199,s06_index_inclusion
60,79,0.5316,0.0157,0.057,-0.6704,0.6456,0.057,-0.0153,s06_index_inclusion
90,75,0.52,0.0178,0.0827,-0.6024,0.72,0.0827,-0.0157,s06_index_inclusion
30,17,0.4118,-0.0374,-0.0817,-0.7648,0.6471,-0.0817,-0.0535,s12_merger_arb
60,16,0.3125,-0.1698,-0.1636,-0.8939,0.8125,-0.1636,-0.2139,s12_merger_arb
90,16,0.4375,-0.2749,-0.2016,-0.9412,0.875,-0.2016,-0.255,s12_merger_arb
30,364,0.4396,-0.0116,-0.0024,-0.8252,0.4753,-0.0024,-0.0335,s05_spinoff
60,349,0.4756,-0.0117,-0.0009,-0.9234,0.6046,-0.0009,-0.0409,s05_spinoff
90,330,0.4909,-0.012,0.0099,-0.93,0.6545,0.0099,-0.0572,s05_spinoff
30,51,0.6275,0.0188,0.0617,-0.1282,0.2353,0.0617,-0.0126,s02_consolidation
60,47,0.5745,0.0154,0.0588,-0.2798,0.4894,0.0588,-0.0286,s02_consolidation
90,40,0.525,0.0145,0.003,-0.2884,0.525,0.003,-0.0459,s02_consolidation
10,132,0.4848,-0.001,0.0017,-0.1214,0.0455,0.0017,-0.0073,s14_rate_sensitivity
20,132,0.5909,0.0089,0.0086,-0.1492,0.1136,0.0086,-0.0086,s14_rate_sensitivity
30,132,0.5606,0.0085,0.0079,-0.3201,0.2121,0.0079,-0.0063,s14_rate_sensitivity
