ticker,event_date,setup_type,pct_of_52wk_high,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
XLE,2016-02-22,s04_sector_rebound,0.7188,2016-02-23,18.95859101393369,30,2016-04-06,20.351442337036133,0.07346808220498868,0.07046808220498868,False,0.07046808220498868,False,0.07046808220498868,0.06950826549071487,0.000959816714273809
XLE,2016-02-22,s04_sector_rebound,0.7188,2016-02-23,18.95859101393369,60,2016-05-18,21.761146545410156,0.14782509572661362,0.14482509572661362,False,0.14482509572661362,False,0.14482509572661362,0.061684690081083904,0.08314040564552971
XLE,2016-02-22,s04_sector_rebound,0.7188,2016-02-23,18.95859101393369,90,2016-06-30,22.73052406311035,0.1989564016864156,0.1959564016864156,False,0.1959564016864156,False,0.1959564016864156,0.09100737757269561,0.10494902411371998
XLE,2020-04-28,s04_sector_rebound,0.5926,2020-04-29,14.624608483503721,30,2020-06-11,15.199882507324219,0.03933602902733413,0.03633602902733413,False,0.03633602902733413,False,0.03633602902733413,0.03114567271725255,0.005190356310081579
XLE,2020-04-28,s04_sector_rebound,0.5926,2020-04-29,14.624608483503721,60,2020-07-24,14.867630004882812,0.016617301013782004,0.013617301013782005,False,0.013617301013782005,False,0.013617301013782005,0.10551931130236003,-0.09190201028857803
XLE,2020-04-28,s04_sector_rebound,0.5926,2020-04-29,14.624608483503721,90,2020-09-04,13.821227073669434,-0.054933532801270335,-0.05793353280127034,False,-0.05793353280127034,False,-0.05793353280127034,0.18024722152354178,-0.23818075432481212
XLE,2020-06-25,s04_sector_rebound,0.6378,2020-06-26,14.883490098999903,30,2020-08-10,15.192651748657227,0.020772120490616386,0.017772120490616387,False,0.017772120490616387,False,0.017772120490616387,0.09606106641004697,-0.07828894591943059
XLE,2020-06-25,s04_sector_rebound,0.6378,2020-06-26,14.883490098999903,60,2020-09-22,12.747292518615723,-0.14352800090401663,-0.14652800090401663,True,-0.10299999999999998,True,-0.09703073707964749,0.08316626853651932,-0.22969426944053595
XLE,2020-06-25,s04_sector_rebound,0.6378,2020-06-26,14.883490098999903,90,2020-11-03,11.897208213806152,-0.20064392594277425,-0.20364392594277425,True,-0.10299999999999998,True,-0.09703073707964749,0.10195704342537248,-0.30560096936814674
XLE,2020-08-10,s04_sector_rebound,0.652,2020-08-11,15.489923969463943,30,2020-09-23,12.17116928100586,-0.21425248406644926,-0.21725248406644926,True,-0.10299999999999998,True,-0.06313328886370173,-0.038350909585894266,-0.178901574480555
XLE,2020-08-10,s04_sector_rebound,0.652,2020-08-11,15.489923969463943,60,2020-11-04,11.913322448730469,-0.2308985846401962,-0.2338985846401962,True,-0.10299999999999998,True,-0.06313328886370173,0.02394279691730583,-0.257841381557502
XLE,2020-08-10,s04_sector_rebound,0.652,2020-08-11,15.489923969463943,90,2020-12-17,16.14362335205078,0.0422015875530124,0.039201587553012396,True,-0.10299999999999998,True,-0.06313328886370173,0.10948539107073141,-0.07028380351771901
XLE,2020-11-09,s04_sector_rebound,0.5717,2020-11-10,13.569181894443481,30,2020-12-23,15.645052909851074,0.1529842426430772,0.1499842426430772,False,0.1499842426430772,False,0.1499842426430772,0.04426416376667808,0.10572007887639912
XLE,2020-11-09,s04_sector_rebound,0.5717,2020-11-10,13.569181894443481,60,2021-02-08,18.10286521911621,0.3341161876921446,0.33111618769214457,False,0.33111618769214457,False,0.33111618769214457,0.10943647284315494,0.22167971484898963
