ticker,event_date,setup_type,fomc_direction,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
XLU,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,30.620544262657067,10,2021-12-31,31.267473220825195,0.021127284760809495,0.018127284760809496,False,0.018127284760809496,False,0.018127284760809496,0.008588487132857647,0.009538797627951848
XLU,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,30.620544262657067,20,2022-01-14,30.315200805664062,-0.00997184943460927,-0.01297184943460927,False,-0.01297184943460927,False,-0.01297184943460927,-0.013156384833513335,0.0001845353989040656
XLU,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,30.620544262657067,30,2022-01-31,30.249685287475586,-0.01211144295804556,-0.015111442958045559,False,-0.015111442958045559,True,-0.0319131297279428,-0.04460572895814363,0.029494286000098072
VNQ,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,93.21661947488003,10,2021-12-31,97.22671508789062,0.043019105773206334,0.04001910577320633,False,0.04001910577320633,False,0.04001910577320633,0.008588487132857647,0.031430618640348684
VNQ,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,93.21661947488003,20,2022-01-14,91.74563598632812,-0.01578027069462984,-0.018780270694629838,False,-0.018780270694629838,False,-0.018780270694629838,-0.013156384833513335,-0.005623885861116503
VNQ,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,93.21661947488003,30,2022-01-31,89.0385971069336,-0.04482057375050308,-0.04782057375050308,False,-0.04782057375050308,True,-0.03485340092575129,-0.04460572895814363,-0.0032148447923594503
KRE,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,62.13464552883285,10,2021-12-31,62.47819900512695,0.005529177375521943,0.002529177375521943,False,0.002529177375521943,True,-0.052876070657758345,0.008588487132857647,-0.006059309757335704
KRE,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,62.13464552883285,20,2022-01-14,69.4711685180664,0.11807459311615665,0.11507459311615664,False,0.11507459311615664,True,-0.052876070657758345,-0.013156384833513335,0.12823097794966998
KRE,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,62.13464552883285,30,2022-01-31,63.13957214355469,0.016173370044503033,0.013173370044503033,False,0.013173370044503033,True,-0.052876070657758345,-0.04460572895814363,0.05777909900264666
XHB,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,81.57258763671211,10,2021-12-31,82.5604019165039,0.012109635214602621,0.009109635214602622,False,0.009109635214602622,True,-0.04183064732381003,0.008588487132857647,0.0005211480817449744
XHB,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,81.57258763671211,20,2022-01-14,75.91937255859375,-0.06930287786499134,-0.07230287786499134,False,-0.07230287786499134,True,-0.04183064732381003,-0.013156384833513335,-0.05914649303147801
XHB,2021-12-15,s14_rate_sensitivity,hold,2021-12-16,81.57258763671211,30,2022-01-31,71.64603424072266,-0.12168981864591444,-0.12468981864591444,True,-0.10299999999999998,True,-0.04183064732381003,-0.04460572895814363,-0.08008408968777081
XLU,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,29.34546715052,10,2022-02-10,29.262470245361328,-0.0028282700266095695,-0.0058282700266095696,False,-0.0058282700266095696,False,-0.0058282700266095696,0.025236100149467644,-0.031064370176077213
XLU,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,29.34546715052,20,2022-02-25,29.520193099975586,0.005954103526768728,0.002954103526768728,False,0.002954103526768728,True,-0.03873216307587102,-0.001163852464077686,0.004117955990846414
XLU,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,29.34546715052,30,2022-03-11,30.76513671875,0.048377814568368205,0.0453778145683682,False,0.0453778145683682,True,-0.03873216307587102,-0.041504875790980056,0.08688269035934826
VNQ,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,87.15290028007637,10,2022-02-10,87.34565734863281,0.0022117114626936107,-0.0007882885373063893,False,-0.0007882885373063893,False,-0.0007882885373063893,0.025236100149467644,-0.026024388686774032
VNQ,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,87.15290028007637,20,2022-02-25,87.23668670654297,0.0009613727850403819,-0.002038627214959618,False,-0.002038627214959618,True,-0.04726950258477747,-0.001163852464077686,-0.0008747747508819322
VNQ,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,87.15290028007637,30,2022-03-11,86.88469696044922,-0.0030773883458294904,-0.0060773883458294905,False,-0.0060773883458294905,True,-0.04726950258477747,-0.041504875790980056,0.03542748744515056
KRE,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,64.08314860434272,10,2022-02-10,65.97028350830078,0.029448223831969544,0.026448223831969545,False,0.026448223831969545,False,0.026448223831969545,0.025236100149467644,0.0012121236825019012
KRE,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,64.08314860434272,20,2022-02-25,65.1148910522461,0.01610005860157515,0.013100058601575152,False,0.013100058601575152,True,-0.06487836614882714,-0.001163852464077686,0.014263911065652838
KRE,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,64.08314860434272,30,2022-03-11,61.74626541137695,-0.03646642282503898,-0.03946642282503898,False,-0.03946642282503898,True,-0.06487836614882714,-0.041504875790980056,0.0020384529659410733
XHB,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,69.85584212064201,10,2022-02-10,69.05699157714844,-0.011435701284853828,-0.014435701284853827,False,-0.014435701284853827,False,-0.014435701284853827,0.025236100149467644,-0.039671801434321474
XHB,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,69.85584212064201,20,2022-02-25,67.43041229248047,-0.034720500884847794,-0.037720500884847796,True,-0.10299999999999998,True,-0.06884172098099173,-0.001163852464077686,-0.03655664842077011
XHB,2022-01-26,s14_rate_sensitivity,hold,2022-01-27,69.85584212064201,30,2022-03-11,64.45640563964844,-0.07729398597283632,-0.08029398597283632,True,-0.10299999999999998,True,-0.06884172098099173,-0.041504875790980056,-0.03878911018185627
XLU,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,31.083998510530325,10,2022-03-31,32.74284362792969,0.05336652930405328,0.050366529304053276,False,0.050366529304053276,False,0.050366529304053276,0.04486521991981207,0.005501309384241204
XLU,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,31.083998510530325,20,2022-04-14,33.4596061706543,0.07642542060086588,0.07342542060086588,False,0.07342542060086588,False,0.07342542060086588,0.012823386664323033,0.06060203393654284
XLU,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,31.083998510530325,30,2022-04-29,31.335683822631836,0.0080969413254941,0.0050969413254941,False,0.0050969413254941,False,0.0050969413254941,-0.04684167102115777,0.05193861234665187
VNQ,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,87.49650547452336,10,2022-03-31,91.32072448730469,0.043707105695722115,0.04070710569572211,False,0.04070710569572211,False,0.04070710569572211,0.04486521991981207,-0.004158114224089959
VNQ,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,87.49650547452336,20,2022-04-14,91.63250732421875,0.04727048042964044,0.044270480429640435,False,0.044270480429640435,False,0.044270480429640435,0.012823386664323033,0.0314470937653174
VNQ,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,87.49650547452336,30,2022-04-29,87.58767700195312,0.0010420019283663429,-0.001957998071633657,False,-0.001957998071633657,False,-0.001957998071633657,-0.04684167102115777,0.04488367294952411
KRE,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,63.360033450626716,10,2022-03-31,61.05076217651367,-0.03644681273586359,-0.03944681273586359,False,-0.03944681273586359,False,-0.03944681273586359,0.04486521991981207,-0.08431203265567566
KRE,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,63.360033450626716,20,2022-04-14,57.32035446166992,-0.0953231660406747,-0.0983231660406747,True,-0.10299999999999998,True,-0.0687614267720823,0.012823386664323033,-0.11114655270499774
KRE,2022-03-16,s14_rate_sensitivity,hike,2022-03-17,63.360033450626716,30,2022-04-29,54.79503631591797,-0.13517980765245363,-0.13817980765245363,True,-0.10299999999999998,True,-0.0687614267720823,-0.04684167102115777,-0.09133813663129586
