ticker,event_date,setup_type,region,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
GLE.PA,2016-06-23,s_quant_gate,EU,2016-06-24,17.681569991683165,30,2016-08-05,19.893373489379883,0.12509089966202525,0.12209089966202524,False,0.12209089966202524,False,0.12209089966202524,0.07145322585138736,0.050637673810637884,
GLE.PA,2016-06-23,s_quant_gate,EU,2016-06-24,17.681569991683165,60,2016-09-16,20.01553726196289,0.1320000017745906,0.1290000017745906,False,0.1290000017745906,False,0.1290000017745906,0.05312505376927534,0.07587494800531525,
GLE.PA,2016-06-23,s_quant_gate,EU,2016-06-24,17.681569991683165,90,2016-10-28,23.214296340942383,0.312909224229615,0.309909224229615,False,0.309909224229615,False,0.309909224229615,0.049028208607688306,0.26088101562192667,
CMI,2024-01-22,s_quant_gate,US,2024-01-23,224.13726295397754,30,2024-03-06,261.907470703125,0.168513736856432,0.165513736856432,False,0.165513736856432,False,0.165513736856432,0.05318072736991897,0.11233300948651304,
CMI,2024-01-22,s_quant_gate,US,2024-01-23,224.13726295397754,60,2024-04-18,279.1291809082031,0.2453492883310402,0.2423492883310402,False,0.2423492883310402,False,0.2423492883310402,0.035251518023320605,0.2070977703077196,
CMI,2024-01-22,s_quant_gate,US,2024-01-23,224.13726295397754,90,2024-05-31,271.43670654296875,0.21102891578855076,0.20802891578855076,False,0.20802891578855076,False,0.20802891578855076,0.09297046318221791,0.11505845260633285,
ALGN,2023-08-22,s_quant_gate,US,2023-08-23,353.54998779296875,30,2023-10-05,280.17999267578125,-0.20752368165870616,-0.21052368165870616,True,-0.10299999999999998,True,-0.0650992409065021,-0.030171248083128543,-0.18035243357557762,
ALGN,2023-08-22,s_quant_gate,US,2023-08-23,353.54998779296875,60,2023-11-16,203.1199951171875,-0.42548436676476376,-0.42848436676476376,True,-0.10299999999999998,True,-0.0650992409065021,0.02861238190091675,-0.4570967486656805,
ALGN,2023-08-22,s_quant_gate,US,2023-08-23,353.54998779296875,90,2024-01-02,268.9200134277344,-0.23937201891459792,-0.24237201891459792,True,-0.10299999999999998,True,-0.0650992409065021,0.08421208639648414,-0.32658410531108206,
SIE.DE,2026-07-01,s_quant_gate,EU,2026-07-02,271.75,30,2026-08-14,284.0,0.04507819687212522,0.04207819687212522,False,0.04207819687212522,False,0.04207819687212522,0.038158894252716236,0.003919302619408982,
SIE.DE,2026-07-01,s_quant_gate,EU,2026-07-02,271.75,60,,,,,,,,,,,exit_out_of_range
SIE.DE,2026-07-01,s_quant_gate,EU,2026-07-02,271.75,90,,,,,,,,,,,exit_out_of_range
ITW,2020-06-08,s_quant_gate,US,2020-06-09,153.67480466115535,30,2020-07-22,158.81787109375,0.03346720657257274,0.03046720657257274,False,0.03046720657257274,True,-0.05964733698024205,0.024971796244173117,0.005495410328399623,
ITW,2020-06-08,s_quant_gate,US,2020-06-09,153.67480466115535,60,2020-09-02,175.6284637451172,0.14285789484078726,0.13985789484078726,False,0.13985789484078726,True,-0.05964733698024205,0.12168027150760019,0.018177623333187065,
ITW,2020-06-08,s_quant_gate,US,2020-06-09,153.67480466115535,90,2020-10-15,178.2672119140625,0.16002888246470914,0.15702888246470914,False,0.15702888246470914,True,-0.05964733698024205,0.09405699802340517,0.06297188444130397,
HLT,2016-07-27,s_quant_gate,US,2016-07-28,45.314604594161096,30,2016-09-09,44.73659133911133,-0.012755562146607557,-0.015755562146607557,False,-0.015755562146607557,False,-0.015755562146607557,-0.013916593254461707,-0.00183896889214585,
HLT,2016-07-27,s_quant_gate,US,2016-07-28,45.314604594161096,60,2016-10-21,45.09086608886719,-0.00493744803243279,-0.007937448032432789,False,-0.007937448032432789,False,-0.007937448032432789,-0.005682718451410773,-0.0022547295810220157,
HLT,2016-07-27,s_quant_gate,US,2016-07-28,45.314604594161096,90,2016-12-05,51.50702667236328,0.13665400225074675,0.13365400225074675,False,0.13365400225074675,True,-0.046723563012146974,0.026937399288121666,0.10671660296262508,
GILD,2023-07-20,s_quant_gate,US,2023-07-21,72.85593450725551,30,2023-09-01,69.44915771484375,-0.04676045699575082,-0.049760456995750824,False,-0.049760456995750824,True,-0.036686267014191754,-0.006101789835134097,-0.043658667160616726,
