ticker,event_date,n_insiders,drawdown_pct,setup_type,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
AAOI,2024-03-18,3,-0.4359,s07_insider_buying,2024-03-19,13.350000381469727,30,2024-05-01,9.899999618530273,-0.2584270160567318,-0.2614270160567318,True,-0.10299999999999998,True,-0.2204338695485466,-0.02304020821062791,-0.2383868078461039,
AAOI,2024-03-18,3,-0.4359,s07_insider_buying,2024-03-19,13.350000381469727,60,2024-06-13,10.09000015258789,-0.24419476672126783,-0.24719476672126783,True,-0.10299999999999998,True,-0.2204338695485466,0.05916231927632509,-0.3063570859975929,
AAOI,2024-03-18,3,-0.4359,s07_insider_buying,2024-03-19,13.350000381469727,90,2024-07-29,8.220000267028809,-0.38426966051338396,-0.38726966051338396,True,-0.10299999999999998,True,-0.2204338695485466,0.06710415493683541,-0.4543738154502194,
AAP,2023-06-07,4,-0.4894,s07_insider_buying,2023-06-08,61.715961216233126,30,2023-07-24,68.81015014648438,0.1149490146543366,0.1119490146543366,False,0.1119490146543366,False,0.1119490146543366,0.06860241739992445,0.043346597254412145,
AAP,2023-06-07,4,-0.4894,s07_insider_buying,2023-06-08,61.715961216233126,60,2023-09-05,63.8924560546875,0.035266320017744324,0.03226632001774432,False,0.03226632001774432,False,0.03226632001774432,0.056932994291245764,-0.024666674273501443,
AAP,2023-06-07,4,-0.4894,s07_insider_buying,2023-06-08,61.715961216233126,90,2023-10-17,51.965087890625,-0.1579959727345761,-0.1609959727345761,True,-0.10299999999999998,True,-0.13905407611770326,0.0294485888682412,-0.1904445616028173,
ABCB,2023-05-10,3,-0.4056,s07_insider_buying,2023-05-11,28.01258034726455,30,2023-06-26,32.69257736206055,0.1670676873311674,0.1640676873311674,False,0.1640676873311674,False,0.1640676873311674,0.051201891835475966,0.11286579549569142,
ABCB,2023-05-10,3,-0.4056,s07_insider_buying,2023-05-11,28.01258034726455,60,2023-08-08,43.138160705566406,0.539956696983785,0.536956696983785,False,0.536956696983785,False,0.536956696983785,0.09337785625573725,0.44357884072804776,
ABCB,2023-05-10,3,-0.4056,s07_insider_buying,2023-05-11,28.01258034726455,90,2023-09-20,36.90924835205078,0.31759544799145933,0.31459544799145933,False,0.31459544799145933,False,0.31459544799145933,0.07251477918036708,0.24208066881109225,
ABCL,2021-12-03,3,-0.343,s07_insider_buying,2021-12-06,13.920000076293945,30,2022-01-19,9.420000076293945,-0.32327586029712707,-0.3262758602971271,True,-0.10299999999999998,True,-0.14330041865440557,-0.006122998738242624,-0.32015286155888445,
