ticker,event_date,setup_type,region,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
DVA,2014-11-11,s_quant_gate_placebo_sma_both_norsi,US,2014-11-12,76.0,30,2014-12-26,76.22000122070312,0.00289475290398844,-0.00010524709601155997,False,-0.00010524709601155997,True,-0.03928681569743753,0.030688094604798932,-0.03079334170081049,
DVA,2014-11-11,s_quant_gate_placebo_sma_both_norsi,US,2014-11-12,76.0,60,2015-02-10,75.7699966430664,-0.0030263599596525026,-0.006026359959652503,False,-0.006026359959652503,True,-0.03928681569743753,0.02262791122119845,-0.02865427118085095,
DVA,2014-11-11,s_quant_gate_placebo_sma_both_norsi,US,2014-11-12,76.0,90,2015-03-25,81.05000305175781,0.0664474085757607,0.0634474085757607,False,0.0634474085757607,True,-0.03928681569743753,0.021977725530758052,0.04146968304500265,
ANET,2024-05-08,s_quant_gate_placebo_sma_both_norsi,US,2024-05-09,73.01750183105469,30,2024-06-24,82.30249786376953,0.12716123942720126,0.12416123942720125,False,0.12416123942720125,False,0.12416123942720125,0.05240040730424833,0.07176083212295292,
ANET,2024-05-08,s_quant_gate_placebo_sma_both_norsi,US,2024-05-09,73.01750183105469,60,2024-08-06,80.88500213623047,0.10774814404605793,0.10474814404605792,False,0.10474814404605792,False,0.10474814404605792,0.012475544368711011,0.09227259967734691,
ANET,2024-05-08,s_quant_gate_placebo_sma_both_norsi,US,2024-05-09,73.01750183105469,90,2024-09-18,90.42749786376953,0.23843593105934358,0.23543593105934357,False,0.23543593105934357,False,0.23543593105934357,0.08858330816479865,0.14685262289454493,
PH,2026-04-08,s_quant_gate_placebo_sma_both_norsi,US,2026-04-09,961.855930254864,30,2026-05-21,864.72998046875,-0.10097764824341049,-0.10397764824341049,True,-0.10299999999999998,True,-0.06412879390403503,0.10058675245323379,-0.20456440069664428,
PH,2026-04-08,s_quant_gate_placebo_sma_both_norsi,US,2026-04-09,961.855930254864,60,2026-07-07,957.510009765625,-0.004518265524533827,-0.007518265524533827,True,-0.10299999999999998,True,-0.06412879390403503,0.11083559937235976,-0.11835386489689359,
PH,2026-04-08,s_quant_gate_placebo_sma_both_norsi,US,2026-04-09,961.855930254864,90,,,,,,,,,,,exit_out_of_range
NDAQ,2018-02-14,s_quant_gate_placebo_sma_both_norsi,US,2018-02-15,23.553010887712855,30,2018-04-02,25.15668487548828,0.06808785489977565,0.06508785489977564,False,0.06508785489977564,False,0.06508785489977564,-0.0481226318900172,0.11321048678979284,
NDAQ,2018-02-14,s_quant_gate_placebo_sma_both_norsi,US,2018-02-15,23.553010887712855,60,2018-05-14,26.589078903198242,0.1289036051466883,0.1259036051466883,False,0.1259036051466883,False,0.1259036051466883,0.009218391223265288,0.11668521392342301,
NDAQ,2018-02-14,s_quant_gate_placebo_sma_both_norsi,US,2018-02-15,23.553010887712855,90,2018-06-26,27.08176040649414,0.1498215890785397,0.1468215890785397,False,0.1468215890785397,False,0.1468215890785397,0.008625159672544847,0.13819642940599486,
MCHP,2024-06-18,s_quant_gate_placebo_sma_both_norsi,US,2024-06-20,87.6100140820699,30,2024-08-02,71.44242095947266,-0.18454046939716295,-0.18754046939716296,True,-0.10300000000000009,True,-0.060205258821032004,-0.0269742893572944,-0.16056618003986856,
MCHP,2024-06-18,s_quant_gate_placebo_sma_both_norsi,US,2024-06-20,87.6100140820699,60,2024-09-16,73.3314437866211,-0.16297874672264234,-0.16597874672264235,True,-0.10300000000000009,True,-0.060205258821032004,0.027693373272888788,-0.19367211999553113,
MCHP,2024-06-18,s_quant_gate_placebo_sma_both_norsi,US,2024-06-20,87.6100140820699,90,2024-10-28,73.52191925048828,-0.1608046178189676,-0.1638046178189676,True,-0.10300000000000009,True,-0.060205258821032004,0.063794293989611,-0.2275989118085786,
FE,2014-05-28,s_quant_gate_placebo_sma_both_norsi,US,2014-05-29,20.301385031237942,30,2014-07-11,19.54526138305664,-0.037244929201522226,-0.04024492920152223,False,-0.04024492920152223,True,-0.04479215315052221,0.029882676244738393,-0.07012760544626062,
FE,2014-05-28,s_quant_gate_placebo_sma_both_norsi,US,2014-05-29,20.301385031237942,60,2014-08-22,20.235877990722656,-0.0032267276550091983,-0.006226727655009198,True,-0.10299999999999998,True,-0.04479215315052221,0.04339715551229095,-0.049623883167300153,
FE,2014-05-28,s_quant_gate_placebo_sma_both_norsi,US,2014-05-29,20.301385031237942,90,2014-10-06,20.484806060791016,0.009034902262621047,0.006034902262621047,True,-0.10299999999999998,True,-0.04479215315052221,0.033012636329423195,-0.026977734066802147,
DHI,2019-05-30,s_quant_gate_placebo_sma_both_norsi,US,2019-05-31,40.4555725892052,30,2019-07-15,41.872310638427734,0.035019601962093194,0.03201960196209319,False,0.03201960196209319,True,-0.04941794724421322,0.0941807734413207,-0.062161171479227506,
DHI,2019-05-30,s_quant_gate_placebo_sma_both_norsi,US,2019-05-31,40.4555725892052,60,2019-08-26,45.709991455078125,0.12988121362729066,0.12688121362729066,False,0.12688121362729066,True,-0.04941794724421322,0.04779445693560325,0.07908675669168741,
DHI,2019-05-30,s_quant_gate_placebo_sma_both_norsi,US,2019-05-31,40.4555725892052,90,2019-10-08,49.15613555908203,0.21506463542672516,0.21206463542672516,False,0.21206463542672516,True,-0.04941794724421322,0.05457009546585234,0.15749453996087281,
CRH,2025-03-05,s_quant_gate_placebo_sma_both_norsi,US,2025-03-06,100.19960784636864,30,2025-04-17,83.81930541992188,-0.16347671192048885,-0.16647671192048885,True,-0.10299999999999998,True,-0.07528530731123306,-0.08251620774073432,-0.08396050417975454,
CRH,2025-03-05,s_quant_gate_placebo_sma_both_norsi,US,2025-03-06,100.19960784636864,60,2025-06-02,90.342041015625,-0.0983792955143874,-0.1013792955143874,True,-0.10299999999999998,True,-0.07528530731123306,0.033038633382459714,-0.13441792889684712,
CRH,2025-03-05,s_quant_gate_placebo_sma_both_norsi,US,2025-03-06,100.19960784636864,90,2025-07-16,92.21858215332031,-0.0796512667523136,-0.0826512667523136,True,-0.10299999999999998,True,-0.07528530731123306,0.09117393027160148,-0.17382519702391508,
DB1.DE,2015-12-29,s_quant_gate_placebo_sma_both_norsi,EU,2015-12-30,64.44685172474797,30,2016-02-12,56.47501754760742,-0.12369625456939615,-0.12669625456939615,True,-0.10299999999999998,True,-0.04342328544579033,-0.098884362099398,-0.027811892469998156,
DB1.DE,2015-12-29,s_quant_gate_placebo_sma_both_norsi,EU,2015-12-30,64.44685172474797,60,2016-03-29,58.52333068847656,-0.09191327237474256,-0.09491327237474256,True,-0.10299999999999998,True,-0.04342328544579033,-0.004500688472029557,-0.090412583902713,
DB1.DE,2015-12-29,s_quant_gate_placebo_sma_both_norsi,EU,2015-12-30,64.44685172474797,90,2016-05-10,60.10505294799805,-0.06737022306836205,-0.07037022306836205,True,-0.10299999999999998,True,-0.04342328544579033,0.011660770787191632,-0.08203099385555368,
ARES,2016-05-02,s_quant_gate_placebo_sma_both_norsi,US,2016-05-03,9.633321384665384,30,2016-06-15,8.966848373413086,-0.06918413542324153,-0.07218413542324154,False,-0.07218413542324154,True,-0.06997588607132965,0.005955866705364743,-0.07814000212860628,
ARES,2016-05-02,s_quant_gate_placebo_sma_both_norsi,US,2016-05-03,9.633321384665384,60,2016-07-28,11.373387336730957,0.18062990764903408,0.17762990764903408,True,-0.10300000000000009,True,-0.06997588607132965,0.0550906863314935,0.12253922131754058,
