ticker,event_date,setup_type,consolidation_days,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
BLDR,2026-06-17,s02_consolidation,19,2026-06-18,78.36000061035156,30,exit_out_of_range,,,,,,,,,,
BLDR,2026-06-17,s02_consolidation,19,2026-06-18,78.36000061035156,60,exit_out_of_range,,,,,,,,,,
BLDR,2026-06-17,s02_consolidation,19,2026-06-18,78.36000061035156,90,exit_out_of_range,,,,,,,,,,
BKR,2026-06-16,s02_consolidation,15,2026-06-17,61.25,30,exit_out_of_range,,,,,,,,,,
BKR,2026-06-16,s02_consolidation,15,2026-06-17,61.25,60,exit_out_of_range,,,,,,,,,,
BKR,2026-06-16,s02_consolidation,15,2026-06-17,61.25,90,exit_out_of_range,,,,,,,,,,
AME,2026-06-15,s02_consolidation,18,2026-06-16,232.08999633789062,30,exit_out_of_range,,,,,,,,,,
AME,2026-06-15,s02_consolidation,18,2026-06-16,232.08999633789062,60,exit_out_of_range,,,,,,,,,,
AME,2026-06-15,s02_consolidation,18,2026-06-16,232.08999633789062,90,exit_out_of_range,,,,,,,,,,
APA,2026-06-12,s02_consolidation,17,2026-06-15,34.72999954223633,30,exit_out_of_range,,,,,,,,,,
APA,2026-06-12,s02_consolidation,17,2026-06-15,34.72999954223633,60,exit_out_of_range,,,,,,,,,,
APA,2026-06-12,s02_consolidation,17,2026-06-15,34.72999954223633,90,exit_out_of_range,,,,,,,,,,
AMCR,2026-06-10,s02_consolidation,15,2026-06-11,38.47999954223633,30,exit_out_of_range,,,,,,,,,,
AMCR,2026-06-10,s02_consolidation,15,2026-06-11,38.47999954223633,60,exit_out_of_range,,,,,,,,,,
AMCR,2026-06-10,s02_consolidation,15,2026-06-11,38.47999954223633,90,exit_out_of_range,,,,,,,,,,
AXP,2026-06-02,s02_consolidation,28,2026-06-03,308.67999267578125,30,exit_out_of_range,,,,,,,,,,
AXP,2026-06-02,s02_consolidation,28,2026-06-03,308.67999267578125,60,exit_out_of_range,,,,,,,,,,
AXP,2026-06-02,s02_consolidation,28,2026-06-03,308.67999267578125,90,exit_out_of_range,,,,,,,,,,
ADSK,2026-05-29,s02_consolidation,15,2026-06-01,237.00999450683594,30,exit_out_of_range,,,,,,,,,,
ADSK,2026-05-29,s02_consolidation,15,2026-06-01,237.00999450683594,60,exit_out_of_range,,,,,,,,,,
ADSK,2026-05-29,s02_consolidation,15,2026-06-01,237.00999450683594,90,exit_out_of_range,,,,,,,,,,
BG,2026-05-29,s02_consolidation,17,2026-06-01,123.94999694824219,30,exit_out_of_range,,,,,,,,,,
BG,2026-05-29,s02_consolidation,17,2026-06-01,123.94999694824219,60,exit_out_of_range,,,,,,,,,,
BG,2026-05-29,s02_consolidation,17,2026-06-01,123.94999694824219,90,exit_out_of_range,,,,,,,,,,
A,2026-05-27,s02_consolidation,19,2026-05-28,133.0,30,exit_out_of_range,,,,,,,,,,
A,2026-05-27,s02_consolidation,19,2026-05-28,133.0,60,exit_out_of_range,,,,,,,,,,
A,2026-05-27,s02_consolidation,19,2026-05-28,133.0,90,exit_out_of_range,,,,,,,,,,
AES,2026-05-04,s02_consolidation,23,2026-05-05,14.289999961853027,30,,2026-06-17,14.609999656677246,0.022393260719276054,0.019393260719276054,False,0.019393260719276054,False,0.019393260719276054,0.026587394765098082,-0.007194134045822028
AES,2026-05-04,s02_consolidation,23,2026-05-05,14.289999961853027,60,exit_out_of_range,,,,,,,,,,
AES,2026-05-04,s02_consolidation,23,2026-05-05,14.289999961853027,90,exit_out_of_range,,,,,,,,,,
ALGN,2026-04-10,s02_consolidation,19,2026-04-13,171.74000549316406,30,,2026-05-26,163.5500030517578,-0.0476883788252368,-0.0506883788252368,True,-0.10299999999999987,True,-0.09706874123947795,0.10802919888623386,-0.15871757771147066
ALGN,2026-04-10,s02_consolidation,19,2026-04-13,171.74000549316406,60,exit_out_of_range,,,,,,,,,,
ALGN,2026-04-10,s02_consolidation,19,2026-04-13,171.74000549316406,90,exit_out_of_range,,,,,,,,,,
ALL,2026-04-06,s02_consolidation,20,2026-04-07,207.41730874955468,30,,2026-05-19,223.40310668945312,0.0770707036759426,0.0740707036759426,False,0.0740707036759426,False,0.0740707036759426,0.11738370869886339,-0.04331300502292079
ALL,2026-04-06,s02_consolidation,20,2026-04-07,207.41730874955468,60,exit_out_of_range,,,,,,,,,,
ALL,2026-04-06,s02_consolidation,20,2026-04-07,207.41730874955468,90,exit_out_of_range,,,,,,,,,,
BNY,2026-03-31,s02_consolidation,34,2026-04-01,119.85424549394679,30,,2026-05-14,135.97999572753906,0.13454467271588388,0.13154467271588388,False,0.13154467271588388,False,0.13154467271588388,0.14416574399570226,-0.012621071279818374
BNY,2026-03-31,s02_consolidation,34,2026-04-01,119.85424549394679,60,exit_out_of_range,,,,,,,,,,
