ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct
ASPSZ,2026-05-23,s09_short_squeeze_candidate,2026-05-15,23.05,-0.2506
ASTS,2022-07-23,s09_short_squeeze_candidate,2022-07-15,24.93,-0.2791
ATGL,2024-07-06,s09_short_squeeze_candidate,2024-06-28,38.32,-0.4277
ATGL,2026-04-23,s09_short_squeeze_candidate,2026-04-15,44.07,-0.3361
ATLC,2022-10-22,s09_short_squeeze_candidate,2022-10-14,46.49,-0.3996
ATLC,2024-05-23,s09_short_squeeze_candidate,2024-05-15,22.48,-0.2653
ATOM,2022-12-08,s09_short_squeeze_candidate,2022-11-30,36.86,-0.3104
ATOM,2023-09-23,s09_short_squeeze_candidate,2023-09-15,30.89,-0.3878
ATOM,2024-03-23,s09_short_squeeze_candidate,2024-03-15,26.83,-0.3308
ATOS,2023-10-21,s09_short_squeeze_candidate,2023-10-13,22.71,-0.45
AUID,2022-03-08,s09_short_squeeze_candidate,2022-02-28,20.87,-0.7039
AUID,2024-09-21,s09_short_squeeze_candidate,2024-09-13,26.04,-0.307
AUMN,2024-07-06,s09_short_squeeze_candidate,2024-06-28,20.35,-0.4615
AURA,2023-05-06,s09_short_squeeze_candidate,2023-04-28,24.86,-0.2535
AURA,2023-11-08,s09_short_squeeze_candidate,2023-10-31,34.06,-0.3079
AURA,2024-02-08,s09_short_squeeze_candidate,2024-01-31,22.36,-0.3573
AVBP,2024-12-21,s09_short_squeeze_candidate,2024-12-13,27.75,-0.2501
AVBP,2025-05-08,s09_short_squeeze_candidate,2025-04-30,33.73,-0.2732
AVXL,2024-02-08,s09_short_squeeze_candidate,2024-01-31,20.66,-0.4
AVXL,2025-02-22,s09_short_squeeze_candidate,2025-02-14,23.21,-0.367
AVXL,2025-09-06,s09_short_squeeze_candidate,2025-08-29,32.19,-0.2811
BAER,2024-08-23,s09_short_squeeze_candidate,2024-08-15,31.5,-0.2529
BAOS,2022-12-08,s09_short_squeeze_candidate,2022-11-30,34.21,-0.3055
BARK,2023-11-08,s09_short_squeeze_candidate,2023-10-31,23.4,-0.3436
BARK,2025-05-23,s09_short_squeeze_candidate,2025-05-15,24.37,-0.3604
BATL,2022-08-23,s09_short_squeeze_candidate,2022-08-15,20.37,-0.4049
BATL,2023-03-08,s09_short_squeeze_candidate,2023-02-28,26.7,-0.2603
BBLGW,2025-06-07,s09_short_squeeze_candidate,2025-05-30,28.57,-0.3317
BBLGW,2025-09-06,s09_short_squeeze_candidate,2025-08-29,42.44,-0.2807
BCAB,2021-07-23,s09_short_squeeze_candidate,2021-07-15,29.5,-0.3272
BCAB,2021-10-23,s09_short_squeeze_candidate,2021-10-15,20.3,-0.3312
BCAB,2022-10-22,s09_short_squeeze_candidate,2022-10-14,23.76,-0.4195
BCRX,2023-10-21,s09_short_squeeze_candidate,2023-10-13,20.02,-0.25
BDMDW,2026-04-23,s09_short_squeeze_candidate,2026-04-15,66.96,-0.3863
BDTX,2021-09-23,s09_short_squeeze_candidate,2021-09-15,21.35,-0.2556
BDTX,2022-12-08,s09_short_squeeze_candidate,2022-11-30,23.63,-0.3259
BDTX,2023-04-08,s09_short_squeeze_candidate,2023-03-31,28.9,-0.3981
BEEM,2022-10-22,s09_short_squeeze_candidate,2022-10-14,21.35,-0.4195
BEEM,2024-10-08,s09_short_squeeze_candidate,2024-09-30,20.18,-0.359
BGL,2025-07-08,s09_short_squeeze_candidate,2025-06-30,34.3,-0.3371
BIMI,2023-10-07,s09_short_squeeze_candidate,2023-09-29,26.35,-0.5423
BIRD,2025-09-06,s09_short_squeeze_candidate,2025-08-29,20.06,-0.4768
BIRD,2026-01-23,s09_short_squeeze_candidate,2026-01-15,20.2,-0.5356
BMEA,2021-08-21,s09_short_squeeze_candidate,2021-08-13,27.85,-0.4931
BMEA,2022-04-08,s09_short_squeeze_candidate,2022-03-31,24.03,-0.5061
BMEA,2023-09-08,s09_short_squeeze_candidate,2023-08-31,25.53,-0.5964
BMEA,2025-02-08,s09_short_squeeze_candidate,2025-01-31,21.19,-0.5309
BMRA,2023-02-23,s09_short_squeeze_candidate,2023-02-15,20.55,-0.2926
BNR,2023-10-21,s09_short_squeeze_candidate,2023-10-13,22.16,-0.5385
BODI,2024-09-07,s09_short_squeeze_candidate,2024-08-30,20.0,-0.2901
BOLD,2024-09-21,s09_short_squeeze_candidate,2024-09-13,31.68,-0.4182
BOLT,2021-08-07,s09_short_squeeze_candidate,2021-07-30,22.63,-0.5473
BOLT,2021-11-06,s09_short_squeeze_candidate,2021-10-29,57.94,-0.2962
BOLT,2023-07-22,s09_short_squeeze_candidate,2023-07-14,26.12,-0.3026
BOLT,2024-05-08,s09_short_squeeze_candidate,2024-04-30,30.88,-0.2633
BOWN,2025-08-08,s09_short_squeeze_candidate,2025-07-31,999.99,-0.2624
