ticker,event_date,n_insiders,drawdown_pct,setup_type,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
ABR,2025-11-28,3,-0.2605,s07_insider_buying,2025-12-01,8.301432365534287,30,2026-01-14,7.5706071853637695,-0.08803603378192204,-0.09103603378192204,True,-0.10299999999999998,True,-0.07928057285625645,0.02002027827420849,-0.11105631205613054,
ABR,2025-11-28,3,-0.2605,s07_insider_buying,2025-12-01,8.301432365534287,60,2026-02-27,7.430063724517822,-0.10496605918686941,-0.10796605918686941,True,-0.10299999999999998,True,-0.07928057285625645,0.013563482290441797,-0.12152954147731121,
ABR,2025-11-28,3,-0.2605,s07_insider_buying,2025-12-01,8.301432365534287,90,2026-04-13,7.478510856628418,-0.09913006246036016,-0.10213006246036016,True,-0.10299999999999998,True,-0.07928057285625645,0.016494515906773977,-0.11862457836713414,
ACVA,2025-11-14,3,-0.4864,s07_insider_buying,2025-11-17,6.269999980926514,30,2025-12-31,8.020000457763672,0.27910693495385974,0.27610693495385974,False,0.27610693495385974,False,0.27610693495385974,0.021255755187791436,0.2548511797660683,
ACVA,2025-11-14,3,-0.4864,s07_insider_buying,2025-11-17,6.269999980926514,60,2026-02-13,6.610000133514404,0.054226499780251736,0.05122649978025173,False,0.05122649978025173,False,0.05122649978025173,0.021001119351302666,0.030225380428949067,
ACVA,2025-11-14,3,-0.4864,s07_insider_buying,2025-11-17,6.269999980926514,90,2026-03-30,4.230000019073486,-0.32535884658034364,-0.32835884658034364,True,-0.10299999999999987,True,-0.17701816273707482,-0.05096552920917097,-0.2773933173711727,
ADTN,2025-11-28,3,-0.2526,s07_insider_buying,2025-12-01,7.880000114440918,30,2026-01-14,8.760000228881836,0.11167513980465893,0.10867513980465893,False,0.10867513980465893,False,0.10867513980465893,0.02002027827420849,0.08865486153045044,
ADTN,2025-11-28,3,-0.2526,s07_insider_buying,2025-12-01,7.880000114440918,60,2026-02-27,10.199999809265137,0.29441620065113683,0.2914162006511368,False,0.2914162006511368,False,0.2914162006511368,0.013563482290441797,0.27785271836069503,
ADTN,2025-11-28,3,-0.2526,s07_insider_buying,2025-12-01,7.880000114440918,90,2026-04-13,14.970000267028809,0.8997461991903692,0.8967461991903692,False,0.8967461991903692,False,0.8967461991903692,0.016494515906773977,0.8802516832835953,
ADV,2026-03-09,3,-0.4456,s07_insider_buying,2026-03-10,16.649999618530273,30,2026-04-22,32.43000030517578,0.9477478107016579,0.9447478107016579,False,0.9447478107016579,False,0.9447478107016579,0.05228177926599176,0.8924660314356662,
