ticker,event_date,setup_type,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
ADBE,2021-08-09,s03_catalyst_rerating_placebo,2021-08-10,630.47998046875,10,2021-08-24,657.239990234375,0.042443869107040344,0.03944386910704034,False,0.03944386910704034,False,0.03944386910704034,0.012109967643424868,0.027333901463615473,
ADBE,2021-08-09,s03_catalyst_rerating_placebo,2021-08-10,630.47998046875,30,2021-09-22,626.0800170898438,-0.006978751927436244,-0.009978751927436243,False,-0.009978751927436243,False,-0.009978751927436243,-0.007562463248409479,-0.0024162886790267644,
ADBE,2021-08-09,s03_catalyst_rerating_placebo,2021-08-10,630.47998046875,60,2021-11-03,655.1799926757812,0.03917652101921987,0.036176521019219865,True,-0.10300000000000009,True,-0.03602333859533491,0.053317191541132125,-0.01714067052191226,
ADBE,2021-08-09,s03_catalyst_rerating_placebo,2021-08-10,630.47998046875,90,2021-12-16,566.0900268554688,-0.10212846657781038,-0.10512846657781039,True,-0.10300000000000009,True,-0.03602333859533491,0.057238590651206955,-0.16236705722901734,
AMD,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,4.909999847412109,10,2016-07-20,5.409999847412109,0.10183299705468074,0.09883299705468074,False,0.09883299705468074,False,0.09883299705468074,0.04455570033140721,0.05427729672327353,
AMD,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,4.909999847412109,30,2016-08-17,6.679999828338623,0.36048880568894903,0.35748880568894903,False,0.35748880568894903,False,0.35748880568894903,0.05071464364716172,0.3067741620417873,
AMD,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,4.909999847412109,60,2016-09-29,6.670000076293945,0.3584521962479228,0.3554521962479228,False,0.3554521962479228,False,0.3554521962479228,0.03817748429124479,0.317274711956678,
AMD,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,4.909999847412109,90,2016-11-10,6.300000190734863,0.28309580173518234,0.28009580173518234,False,0.28009580173518234,False,0.28009580173518234,0.049010022314374124,0.2310857794208082,
AMD,2023-09-14,s03_catalyst_rerating_placebo,2023-09-15,106.06999969482422,10,2023-09-29,102.81999969482422,-0.03064014338974852,-0.03364014338974852,True,-0.10299999999999998,True,-0.08671605973273888,-0.04396829071917063,0.01032814732942211,
AMD,2023-09-14,s03_catalyst_rerating_placebo,2023-09-15,106.06999969482422,30,2023-10-27,96.43000030517578,-0.09088337340797437,-0.09388337340797437,True,-0.10299999999999998,True,-0.08671605973273888,-0.0815404157409837,-0.012342957666990673,
AMD,2023-09-14,s03_catalyst_rerating_placebo,2023-09-15,106.06999969482422,60,2023-12-11,134.41000366210938,0.2671820877611262,0.26418208776112617,True,-0.10299999999999998,True,-0.08671605973273888,0.033210918431671343,0.23097116932945483,
AMD,2023-09-14,s03_catalyst_rerating_placebo,2023-09-15,106.06999969482422,90,2024-01-25,180.3300018310547,0.7001037272545034,0.6971037272545034,True,-0.10299999999999998,True,-0.08671605973273888,0.09587291878746496,0.6012308084670385,
AES,2020-11-11,s03_catalyst_rerating_placebo,2020-11-12,17.142296102900396,10,2020-11-27,17.085447311401367,-0.003316288037365611,-0.006316288037365611,False,-0.006316288037365611,False,-0.006316288037365611,0.02275167991645488,-0.02906796795382049,
AES,2020-11-11,s03_catalyst_rerating_placebo,2020-11-12,17.142296102900396,30,2020-12-28,18.920673370361328,0.10374206913623651,0.10074206913623651,False,0.10074206913623651,False,0.10074206913623651,0.05111765667148083,0.049624412464755685,
AES,2020-11-11,s03_catalyst_rerating_placebo,2020-11-12,17.142296102900396,60,2021-02-10,22.59354019165039,0.3179996457900216,0.3149996457900216,False,0.3149996457900216,False,0.3149996457900216,0.10170078648898251,0.2132988593010391,
AES,2020-11-11,s03_catalyst_rerating_placebo,2020-11-12,17.142296102900396,90,2021-03-25,21.351062774658203,0.24551942438129415,0.24251942438129415,False,0.24251942438129415,False,0.24251942438129415,0.10423255132419751,0.13828687305709664,
AES,2026-06-05,s03_catalyst_rerating_placebo,2026-06-08,14.710000038146973,10,2026-06-23,14.699999809265137,-0.0006798252111422931,-0.003679825211142293,False,-0.003679825211142293,True,-0.012164164472749258,-0.010614061299752842,0.0069342360886105485,
AES,2026-06-05,s03_catalyst_rerating_placebo,2026-06-08,14.710000038146973,30,,,,,,,,,,,exit_out_of_range
AES,2026-06-05,s03_catalyst_rerating_placebo,2026-06-08,14.710000038146973,60,,,,,,,,,,,exit_out_of_range
AES,2026-06-05,s03_catalyst_rerating_placebo,2026-06-08,14.710000038146973,90,,,,,,,,,,,exit_out_of_range
AFL,2021-10-11,s03_catalyst_rerating_placebo,2021-10-12,48.89844959277222,10,2021-10-26,51.28592300415039,0.04882513517833642,0.04582513517833642,False,0.04582513517833642,False,0.04582513517833642,0.046571795556129336,-0.0007466603777929182,
AFL,2021-10-11,s03_catalyst_rerating_placebo,2021-10-12,48.89844959277222,30,2021-11-23,51.27467346191406,0.04859507589567991,0.045595075895679904,False,0.045595075895679904,False,0.045595075895679904,0.07464329350427135,-0.029048217608591442,
AFL,2021-10-11,s03_catalyst_rerating_placebo,2021-10-12,48.89844959277222,60,2022-01-06,55.237632751464844,0.1296397577323114,0.1266397577323114,False,0.1266397577323114,False,0.1266397577323114,0.0778428584155908,0.0487968993167206,
AFL,2021-10-11,s03_catalyst_rerating_placebo,2021-10-12,48.89844959277222,90,2022-02-18,57.38243103027344,0.1735020539128762,0.1705020539128762,False,0.1705020539128762,False,0.1705020539128762,0.00019618351236561082,0.1703058704005106,
AKAM,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,54.18000030517578,10,2016-07-20,57.83000183105469,0.06736806026799202,0.06436806026799202,False,0.06436806026799202,False,0.06436806026799202,0.04455570033140721,0.01981235993658481,
AKAM,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,54.18000030517578,30,2016-08-17,52.34000015258789,-0.03396087379519852,-0.03696087379519852,True,-0.10299999999999998,True,-0.06139099485099775,0.05071464364716172,-0.08767551744236024,
AKAM,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,54.18000030517578,60,2016-09-29,52.40999984741211,-0.032668889771021004,-0.035668889771021006,True,-0.10299999999999998,True,-0.06139099485099775,0.03817748429124479,-0.0738463740622658,
AKAM,2016-07-05,s03_catalyst_rerating_placebo,2016-07-06,54.18000030517578,90,2016-11-10,66.22000122070312,0.2222222378684109,0.21922223786841089,True,-0.10299999999999998,True,-0.06139099485099775,0.049010022314374124,0.17021221555403676,
AKAM,2019-01-28,s03_catalyst_rerating_placebo,2019-01-29,65.0,10,2019-02-12,69.33000183105469,0.0666154127854568,0.06361541278545679,False,0.06361541278545679,False,0.06361541278545679,0.038571963167859824,0.02504344961759697,
AKAM,2019-01-28,s03_catalyst_rerating_placebo,2019-01-29,65.0,30,2019-03-13,72.72000122070312,0.11876924954927892,0.11576924954927892,False,0.11576924954927892,False,0.11576924954927892,0.06600472623190368,0.04976452331737524,
AKAM,2019-01-28,s03_catalyst_rerating_placebo,2019-01-29,65.0,60,2019-04-25,78.61000061035156,0.20938462477463937,0.20638462477463937,False,0.20638462477463937,False,0.20638462477463937,0.11145966112730199,0.09492496364733738,
AKAM,2019-01-28,s03_catalyst_rerating_placebo,2019-01-29,65.0,90,2019-06-07,79.41999816894531,0.22184612567608175,0.21884612567608175,False,0.21884612567608175,False,0.21884612567608175,0.09471462665249275,0.124131499023589,
ALB,2022-09-02,s03_catalyst_rerating_placebo,2022-09-06,255.23022607226724,10,2022-09-20,273.2872619628906,0.07074803078186598,0.06774803078186598,False,0.06774803078186598,False,0.06774803078186598,-0.018981742146839564,0.08672977292870554,
ALB,2022-09-02,s03_catalyst_rerating_placebo,2022-09-06,255.23022607226724,30,2022-10-18,239.10382080078125,-0.06318375969670564,-0.06618375969670565,True,-0.10299999999999998,True,-0.08314753382127538,-0.052083382231193354,-0.014100377465512293,
ALB,2022-09-02,s03_catalyst_rerating_placebo,2022-09-06,255.23022607226724,60,2022-11-30,264.109619140625,0.034789739463865876,0.031789739463865874,True,-0.10299999999999998,True,-0.08314753382127538,0.04127051483270905,-0.009480775368843175,
ALB,2022-09-02,s03_catalyst_rerating_placebo,2022-09-06,255.23022607226724,90,2023-01-13,230.50250244140625,-0.09688399376278989,-0.09988399376278989,True,-0.10299999999999998,True,-0.08314753382127538,0.022497222782790427,-0.12238121654558032,
AXP,2018-05-31,s03_catalyst_rerating_placebo,2018-06-01,89.29609792059378,10,2018-06-15,88.55902862548828,-0.0082542161669924,-0.0112542161669924,False,-0.0112542161669924,False,-0.0112542161669924,0.02189500741021999,-0.033149223577212394,
AXP,2018-05-31,s03_catalyst_rerating_placebo,2018-06-01,89.29609792059378,30,2018-07-16,90.83454895019531,0.017228647896457838,0.014228647896457839,False,0.014228647896457839,True,-0.03953119811557282,0.030044249329038486,-0.015815601432580647,
AXP,2018-05-31,s03_catalyst_rerating_placebo,2018-06-01,89.29609792059378,60,2018-08-27,96.57206726074219,0.08148138059311982,0.07848138059311982,False,0.07848138059311982,True,-0.03953119811557282,0.06854105106750352,0.009940329525616298,
AXP,2018-05-31,s03_catalyst_rerating_placebo,2018-06-01,89.29609792059378,90,2018-10-09,96.5675277709961,0.08143054422006668,0.07843054422006668,False,0.07843054422006668,True,-0.03953119811557282,0.06456175477143034,0.013868789448636343,
AMP,2022-09-20,s03_catalyst_rerating_placebo,2022-09-21,263.6891649943168,10,2022-10-05,261.9445495605469,-0.006616181722170933,-0.009616181722170932,True,-0.10299999999999998,True,-0.05415050378482611,-0.023361167907892888,0.013744986185721956,
AMP,2022-09-20,s03_catalyst_rerating_placebo,2022-09-21,263.6891649943168,30,2022-11-02,292.7488098144531,0.11020416717070125,0.10720416717070125,True,-0.10299999999999998,True,-0.05415050378482611,-0.029110774435467168,0.13631494160616842,
AMP,2022-09-20,s03_catalyst_rerating_placebo,2022-09-21,263.6891649943168,60,2022-12-15,299.4064636230469,0.13545228007187893,0.13245228007187893,True,-0.10299999999999998,True,-0.05415050378482611,0.009116689348943607,0.12333559072293532,
AMP,2022-09-20,s03_catalyst_rerating_placebo,2022-09-21,263.6891649943168,90,2023-01-31,333.306396484375,0.2640124841366107,0.2610124841366107,True,-0.10299999999999998,True,-0.05415050378482611,0.057591372115563866,0.20342111202104685,
APA,2023-11-21,s03_catalyst_rerating_placebo,2023-11-22,31.452269295292915,10,2023-12-07,30.56679916381836,-0.028152821761801228,-0.031152821761801227,False,-0.031152821761801227,False,-0.031152821761801227,0.007143136171743114,-0.038295957933544345,
