ticker,event_date,n_insiders,drawdown_pct,setup_type
CTOS,2022-05-13,3,-0.3548,s07_insider_buying
CUBI,2023-03-14,3,-0.4454,s07_insider_buying
CVCO,2026-02-04,3,-0.2756,s07_insider_buying
CVGI,2024-12-02,3,-0.3066,s07_insider_buying
CVNA,2022-05-17,3,-0.7273,s07_insider_buying
DC,2022-06-09,3,-0.4304,s07_insider_buying
DCGO,2024-03-15,3,-0.3476,s07_insider_buying
DCOM,2023-05-18,3,-0.4365,s07_insider_buying
DCTH,2021-06-28,3,-0.2918,s07_insider_buying
DEI,2022-09-02,3,-0.2619,s07_insider_buying
DFIN,2022-05-11,3,-0.3162,s07_insider_buying
DKNG,2021-11-19,3,-0.4324,s07_insider_buying
DMAC,2021-08-16,4,-0.6412,s07_insider_buying
DOUG,2022-03-04,3,-0.4328,s07_insider_buying
DSGN,2022-12-16,3,-0.5482,s07_insider_buying
ECBK,2023-05-16,3,-0.3146,s07_insider_buying
ECG,2025-02-25,3,-0.4489,s07_insider_buying
ECIA,2025-08-19,4,-0.4406,s07_insider_buying
ECOR,2021-07-02,3,-0.4515,s07_insider_buying
ECPG,2025-03-05,3,-0.3276,s07_insider_buying
EFOR,2026-04-24,9,-0.644,s07_insider_buying
EFTR,2022-06-23,3,-0.6606,s07_insider_buying
EGBN,2023-05-16,4,-0.6368,s07_insider_buying
EHAB,2022-08-09,4,-0.4756,s07_insider_buying
EHTH,2021-11-11,3,-0.3718,s07_insider_buying
EMBC,2023-08-10,3,-0.3179,s07_insider_buying
EML,2025-12-16,3,-0.2626,s07_insider_buying
ENR,2025-05-12,3,-0.2686,s07_insider_buying
ENTX,2022-01-18,3,-0.3786,s07_insider_buying
ENVX,2021-08-12,3,-0.4079,s07_insider_buying
EOLS,2022-09-07,3,-0.2566,s07_insider_buying
EONR,2025-09-15,3,-0.281,s07_insider_buying
EOSE,2022-03-01,3,-0.6998,s07_insider_buying
ERII,2023-11-09,3,-0.3606,s07_insider_buying
ERNA,2022-12-02,3,-0.5417,s07_insider_buying
EU,2026-06-11,3,-0.3568,s07_insider_buying
EVER,2021-11-17,3,-0.2747,s07_insider_buying
EVH,2025-03-06,6,-0.2611,s07_insider_buying
EVLO,2022-05-27,4,-0.4988,s07_insider_buying
EVLV,2025-11-25,3,-0.2922,s07_insider_buying
EWBC,2023-05-04,4,-0.4774,s07_insider_buying
