ticker,event_date,setup_type,spike_return,vol_x_sma50,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
ADBE,2017-10-19,s03_catalyst_rerating,0.1224,5.3,2017-10-20,171.5,10,2017-11-03,182.3000030517578,0.06297377872745069,0.05997377872745069,False,0.05997377872745069,False,0.05997377872745069,0.006817264908470566,0.05315651381898012,
ADBE,2017-10-19,s03_catalyst_rerating,0.1224,5.3,2017-10-20,171.5,30,2017-12-04,168.44000244140625,-0.017842551362062697,-0.020842551362062697,False,-0.020842551362062697,False,-0.020842551362062697,0.02898352544683136,-0.04982607680889406,
ADBE,2017-10-19,s03_catalyst_rerating,0.1224,5.3,2017-10-20,171.5,60,2018-01-18,196.1999969482422,0.14402330582065415,0.14102330582065414,False,0.14102330582065414,False,0.14102330582065414,0.09297535750724384,0.048047948313410305,
ADBE,2017-10-19,s03_catalyst_rerating,0.1224,5.3,2017-10-20,171.5,90,2018-03-02,209.7899932861328,0.22326526697453541,0.2202652669745354,False,0.2202652669745354,False,0.2202652669745354,0.05358554979633845,0.16667971717819696,
AMD,2020-07-24,s03_catalyst_rerating,0.165,3.52,2020-07-27,69.27999877929688,10,2020-08-10,82.23999786376953,0.18706696467704798,0.18406696467704797,False,0.18406696467704797,False,0.18406696467704797,0.04334161006493309,0.14072535461211488,
AMD,2020-07-24,s03_catalyst_rerating,0.165,3.52,2020-07-27,69.27999877929688,30,2020-09-08,78.69000244140625,0.13582569035670056,0.13282569035670055,False,0.13282569035670055,False,0.13282569035670055,0.03600384076109564,0.09682184959560491,
AMD,2020-07-24,s03_catalyst_rerating,0.165,3.52,2020-07-27,69.27999877929688,60,2020-10-20,81.55999755859375,0.1772517176049162,0.1742517176049162,False,0.1742517176049162,False,0.1742517176049162,0.07189758539989088,0.10235413220502532,
AMD,2020-07-24,s03_catalyst_rerating,0.165,3.52,2020-07-27,69.27999877929688,90,2020-12-02,93.73999786376953,0.35306003919535445,0.35006003919535444,False,0.35006003919535444,False,0.35006003919535444,0.1449745265413016,0.20508551265405284,
AMD,2025-10-06,s03_catalyst_rerating,0.2371,4.26,2025-10-07,214.85000610351562,10,2025-10-21,238.02999877929688,0.1078891878858641,0.1048891878858641,False,0.1048891878858641,False,0.1048891878858641,-0.001858613395842923,0.10674780128170702,
AMD,2025-10-06,s03_catalyst_rerating,0.2371,4.26,2025-10-07,214.85000610351562,30,2025-11-18,230.2899932861328,0.07186402952754922,0.06886402952754922,False,0.06886402952754922,False,0.06886402952754922,-0.01852672189861293,0.08739075142616215,
AMD,2025-10-06,s03_catalyst_rerating,0.2371,4.26,2025-10-07,214.85000610351562,60,2026-01-02,223.47000122070312,0.04012099079501241,0.03712099079501241,False,0.03712099079501241,True,-0.09812496004673354,0.01880735220931795,0.01831363858569446,
AMD,2025-10-06,s03_catalyst_rerating,0.2371,4.26,2025-10-07,214.85000610351562,90,2026-02-17,203.0800018310547,-0.05478242465950922,-0.057782424659509224,True,-0.10299999999999998,True,-0.09812496004673354,0.01833015319835507,-0.0761125778578643,
AES,2025-07-09,s03_catalyst_rerating,0.1978,3.77,2025-07-10,12.449934643607794,10,2025-07-24,13.125216484069824,0.05423978999028267,0.05123978999028267,False,0.05123978999028267,False,0.05123978999028267,0.016372922573262283,0.034866867417020386,
AES,2025-07-09,s03_catalyst_rerating,0.1978,3.77,2025-07-10,12.449934643607794,30,2025-08-21,12.503145217895508,0.004273964146071618,0.0012739641460716182,False,0.0012739641460716182,False,0.0012739641460716182,0.018183236929391722,-0.016909272783320103,
